Open;Close;High;Low;Volume;Date
98;94.29;98.5;92.93;;04/11/22
97.05;98.26;98.76;95.3;;04/08/22
97.28;96.03;98.82;93.77;;04/07/22
101.38;96.23;104;95.72;;04/06/22
103.6;101.96;105.6;99.87;;04/05/22
99.25;103.28;103.95;98.06;;04/04/22
100.97;99.27;101.81;97.78;;04/01/22
107.74;100.28;107.81;99.64;;03/31/22
105.25;107.82;108.76;104.55;;03/30/22
103.63;104.24;107.84;98.44;;03/29/22
113.35;105.96;113.35;102.82;;03/28/22
111.59;113.9;114.1;108.67;;03/25/22
114.5;112.34;116.63;110.62;;03/24/22
108.84;114.93;115.4;108.38;;03/23/22
0;109.27;113.34;107.1;;03/22/22
104.66;112.12;112.32;104.32;;03/21/22
103.83;104.7;106.28;102.3;;03/18/22
95.78;102.98;104.26;94.85;;03/17/22
95.18;95.04;99.21;94.07;;03/16/22
102.1;96.44;102.58;93.52;;03/15/22
109.83;103.01;109.94;99.76;;03/14/22
106.09;109.33;110.29;104.46;;03/11/22
109.89;106.02;114.87;105.53;;03/10/22
124.81;108.7;126.84;103.63;;03/09/22
120.28;123.7;129.44;117.08;;03/08/22
117.45;119.4;129.79;115.54;;03/07/22
107.77;115.68;116.1;107.25;;03/04/22
111.09;107.67;116.57;106.43;;03/03/22
106.78;110.6;112.5;105.17;;03/02/22
95.87;103.41;106.8;95.29;;03/01/22
93.04;95.72;99.13;93.04;;02/28/22
99.65;99.67;100.53;90.06;;02/24/22
91.64;92.1;93.89;90.63;;02/23/22
90.99;91.91;94.93;89.06;;02/22/22
91.9;90.21;92.61;89.01;;02/18/22
90.81;91.76;93.35;90.62;;02/17/22
92.07;93.66;95.01;89.98;;02/16/22
94.94;92.07;95.17;90.66;;02/15/22
93.93;95.46;95.82;92.09;;02/14/22
89.98;93.1;94.66;89.19;;02/11/22
90.01;89.88;91.74;89.03;;02/10/22
89.84;89.66;90.58;88.42;;02/09/22
91.68;89.36;91.68;88.5;;02/08/22
91.84;91.32;92.72;90.74;;02/07/22
90.19;92.31;93.17;90.07;;02/04/22
87.92;90.27;90.44;86.76;;02/03/22
88.28;88.26;89.72;87.08;;02/02/22
88.14;88.2;88.87;86.55;;02/01/22
87.41;88.15;88.38;86.34;;01/31/22
87.36;86.82;88.84;86.45;;01/28/22
87.21;86.61;88.54;86.2;;01/27/22
85.28;87.35;87.94;85.02;;01/26/22
84.04;85.6;85.71;83;;01/25/22
85.14;83.31;86.08;81.9;;01/24/22
84.6;85.14;85.55;82.78;;01/21/22
0;85.55;87.1;84.21;;01/20/22
86.79;86.96;87.87;85.79;;01/19/22
84.48;85.43;86.62;83.5;;01/18/22
81.76;83.82;84.44;81.5;;01/14/22
82.77;82.12;82.93;81.38;;01/13/22
81.4;82.64;83.14;81.16;;01/12/22
78.43;81.22;81.58;78.37;;01/11/22
79.09;78.23;79.45;77.85;;01/10/22
79.62;78.9;80.48;78.53;;01/07/22
77.2;79.46;80.25;76.73;;01/06/22
77.18;77.85;78.73;76.51;;01/05/22
76.02;76.99;77.66;75.7;;01/04/22
75.63;76.08;76.46;74.28;;01/03/22
